ontology_class_slug	ontology_class_label	mixs_context_label	mixs_environment_label	claude-3-opus-20240229|2024-05-07T11:45 EDT	claude-3-opus-20240229|2024-05-07T17:00 EDT	claude-3-opus-20240229|2024-05-07T18:40 EDT	claude-3-opus-20240229|2024-05-08T09:30 EDT	expand-subset|2024-05-09T16:48 EDT
ENVO:00002259	agricultural soil	env_local_scale	Agriculture				0.2|The ENVO term 'ENVO:00002259' for 'agricultural soil' is not present in the provided input and cannot be used for mapping in this context.	
ENVO_00000001	bedding-plane cave	env_local_scale	MicrobialMatBiofilm					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000067/cave @ 0.8
ENVO_00000001	bedding-plane cave	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000067/cave @ 0.7
ENVO_00000003	mine tailing	env_medium	MiscellaneousNaturalOrArtificialEnvironment					0.5|Inferred from claude-3-opus-20240229 2024-05-07T17:00 EDT: ENVO_0010001/anthropogenic environmental material @ 0.8
ENVO_00000010	transport feature	env_local_scale	BuiltEnvironment			0.7|Transport features like roads or railways can provide relevant local environmental context for exterior built environment samples or those near transportation infrastructure.		
ENVO_00000011	garden	env_local_scale	PlantAssociated				0.9|Gardens, as managed plant environments, can have distinct soil properties, microclimatic conditions, and plant-associated microbial communities that provide important context for samples collected in these environments.	
ENVO_00000012	hydrographic feature	env_local_scale	Water				0.9|Hydrographic features, such as rivers, lakes, and wetlands, are highly relevant for providing local environmental context for water samples.	
ENVO_00000014	canal	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000017	saline hydrographic feature	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000019	saline lake	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000020/lake @ 0.95
ENVO_00000020	lake	env_local_scale	Water				0.95|Lakes are another specific type of hydrographic feature that are highly relevant for providing local environmental context for water samples, as they represent more static, lentic water bodies.	
ENVO_00000021	freshwater lake	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000020/lake @ 0.95
ENVO_00000022	river	env_local_scale	Water				0.95|Rivers are a specific type of hydrographic feature that are highly relevant for providing local environmental context for water samples, as they represent dynamic, flowing water systems.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000023	stream	env_local_scale	Water				0.9|Streams are a specific type of watercourse that can provide important local environmental context for water samples, particularly in relation to flow dynamics and upstream influences.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000025	reservoir	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000020/lake @ 0.95
ENVO_00000026	well	env_local_scale	HydrocarbonResourcesFluidsSwabs				0.95|Wells, particularly those associated with hydrocarbon extraction, provide highly relevant local environmental context for hydrocarbon resource fluids and swabs, as they represent the immediate sampling environment.	
ENVO_00000027	spring	env_local_scale	Water				0.8|Springs are hydrographic features where groundwater emerges at the Earth's surface, providing important context for water samples in terms of groundwater influence and local hydrogeology.	
ENVO_00000029	watercourse	env_local_scale	Water				0.9|Watercourses, such as streams and canals, are relevant hydrographic features that can provide local environmental context for water samples in terms of flow characteristics and connectivity.	
ENVO_00000030	dead cave	env_local_scale	MicrobialMatBiofilm				0.7|Dead caves, which are characterized by the absence of active water flow or drips, can provide a suitable environment for the development of microbial mats and biofilms on cave surfaces.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000067/cave @ 0.8
ENVO_00000030	dead cave	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000067/cave @ 0.7
ENVO_00000031	wadi	env_local_scale	Soil					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000100/valley @ 0.8
ENVO_00000032	bay	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000033	pond	env_local_scale	Water				0.8|Ponds are small, static water bodies that can provide relevant local environmental context for water samples, particularly in relation to surrounding land use and ecosystem dynamics.	
ENVO_00000036	irrigation canal	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000039	fjord	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000012/hydrographic feature @ 0.9
ENVO_00000041	tidal creek	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000042	drainage canal	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000043	wetland area	env_local_scale	Water				0.9|Wetland areas are important hydrographic features that can provide valuable local environmental context for water samples, as they represent transitional zones between aquatic and terrestrial ecosystems.	
ENVO_00000044	peatland	env_local_scale	Soil				0.8|Peatlands are wetland ecosystems characterized by the accumulation of organic matter, providing important context for soil samples in terms of soil formation processes and carbon storage.	
ENVO_00000044	peatland	env_local_scale	Water				0.8|Peatlands are a specific type of wetland ecosystem characterized by the accumulation of organic matter, providing important context for water samples in terms of water chemistry and hydrologic conditions.	
ENVO_00000045	estuary	env_local_scale	Water				0.9|Estuaries are hydrographic features representing transitional zones where rivers meet the sea, providing important context for water samples in terms of mixing dynamics and salinity gradients.	
ENVO_00000046	hedge	env_local_scale	PlantAssociated				0.7|Hedges, as linear arrangements of closely spaced shrubs or trees, can provide distinct microhabitats and environmental conditions for plant-associated organisms and processes.	
ENVO_00000048	navigation canal	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000029/watercourse @ 0.9
ENVO_00000050	geyser	env_local_scale	MicrobialMatBiofilm					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000051/hot spring @ 0.9
ENVO_00000050	geyser	env_local_scale	Water					0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000027/spring @ 0.8
ENVO_00000051	hot spring	env_local_scale	MicrobialMatBiofilm				0.9|Hot springs provide unique environments characterized by high temperatures and mineral-rich waters, which can support the growth of specialized microbial mats and biofilms.	
ENVO_00000051	hot spring	env_local_scale	Water				0.8|Hot springs are a specific type of spring characterized by geothermally heated water, providing unique local environmental context for water samples in terms of temperature and geochemistry.	0.5|Inferred from claude-3-opus-20240229 2024-05-08T09:30 EDT: ENVO_00000027/spring @ 0.8
