class,determined by,formed as result of,has quality,http://www.w3.org/2000/01/rdf-schema#subClassOf,overlaps,part of
ENVO_00000446,,,,terrestrial biome|terrestrial ecosystem,,
ENVO_00000447,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine biome|marine ecosystem,marine water body,marine water body
ENVO_00000873,fresh water body,,,freshwater biome|aquatic biome|aquatic ecosystem|freshwater ecosystem,fresh water body,fresh water body
ENVO_00000887,fresh water body,,,freshwater biome|large river biome|freshwater river biome|aquatic biome|aquatic ecosystem|freshwater ecosystem,liquid water|river|stream|watercourse|freshwater river|fresh water|fresh water body|liquid environmental material|freshwater stream,fresh water body
ENVO_00000888,fresh water body,,,freshwater biome|freshwater river biome|aquatic biome|aquatic ecosystem|large river headwater biome|freshwater ecosystem,liquid water|headwater|depressed landform|freshwater biome|large river biome|river|stream|watercourse|freshwater river biome|structural basin|freshwater river|slope|fresh water|aquatic biome|fresh water body|liquid environmental material|freshwater stream|aquatic ecosystem|freshwater ecosystem,freshwater biome|large river biome|freshwater river biome|aquatic biome|fresh water body|aquatic ecosystem|freshwater ecosystem
ENVO_00000889,fresh water body,,,freshwater biome|freshwater river biome|aquatic biome|aquatic ecosystem|large river delta biome|freshwater ecosystem,stream mouth|river mouth|liquid water|delta|mouth|freshwater biome|large river biome|river|stream|watercourse|freshwater river biome|freshwater river|fresh water|aquatic biome|fresh water body|liquid environmental material|freshwater stream|aquatic ecosystem|freshwater ecosystem,freshwater biome|large river biome|freshwater river biome|aquatic biome|fresh water body|aquatic ecosystem|freshwater ecosystem
ENVO_00000890,fresh water body,,,freshwater biome|freshwater river biome|aquatic biome|aquatic ecosystem|small river biome|freshwater ecosystem,liquid water|river|stream|watercourse|freshwater river|fresh water|fresh water body|liquid environmental material|freshwater stream,fresh water body
ENVO_00000891,fresh water body,,,freshwater biome|aquatic biome|freshwater lake biome|aquatic ecosystem|large freshwater lake biome|freshwater ecosystem,liquid water|lake|freshwater lake|fresh water|fresh water body|liquid environmental material,fresh water body
ENVO_00000892,fresh water body,,,freshwater biome|aquatic biome|freshwater lake biome|aquatic ecosystem|small freshwater lake biome|freshwater ecosystem,liquid water|lake|freshwater lake|fresh water|fresh water body|liquid environmental material,fresh water body
ENVO_00000893,fresh water body,,,freshwater biome|aquatic biome|aquatic ecosystem|xeric basin biome|freshwater ecosystem,spring|freshwater spring|fresh water body,fresh water body
ENVO_00002030,,,,aquatic biome|aquatic ecosystem,,
ENVO_01000004,marine water body,,subtropical|mediterranean,aquatic biome|marine environment|aquatic ecosystem|mediterranean sea biome|marine biome|concentration basin mediterranean sea biome|subtropical environment|marine ecosystem|subtropical biome|mediterranean biome,marine water body,marine water body
