ols,count
material entity,8334
entity,6411
continuant,5915
independent continuant,4167
atom,4084
subatomic particle,4068
electron,4068
atomic nucleus,4068
quality,3259
chemical entity,2834
molecular entity,2813
polyatomic entity,2786
macromolecule,2714
environmental material,2321
uncharged atom,2042
hadron,2034
nucleon,2034
group,2034
lepton,2034
fermion,2034
nuclear particle,2034
fundamental particle,2034
baryon,2034
composite particle,2034
characteristic,1746
specifically dependent continuant,1746
physical object quality,1513
p-block molecular entity,1474
main group molecular entity,1474
main group element atom,1175
p-block element atom,1175
nonmetal atom,1167
solid environmental material,1050
object,1028
carbon group molecular entity,994
process,992
organic molecular entity,955
fluid environmental material,896
physical quality,895
quality of a substance,843
disposition,834
carbon group element atom,831
carbon atom,801
heteroatomic molecular entity,796
morphology,795
particulate environmental material,775
mass of environmental material,769
mass of solid material,765
astronomical body part,760
geophysical entity,760
particle,750
structure,729
inorganic molecular entity,725
biomacromolecule,710
s-block molecular entity,702
chalcogen molecular entity,693
oxygen molecular entity,683
hydrogen molecular entity,657
hydrides,628
porous,587
porosity,587
astronomical object,545
astronomical body,542
chalcogen,540
oxygen atom,534
hydroxides,532
s-block element atom,531
mononuclear parent hydride,529
hydrogen atom,522
organic material,508
inorganic hydride,508
inorganic hydroxy compound,500
water,500
oxygen hydride,500
chalcogen hydride,500
occurrent,496
organism,486
realizable entity,480
realizable,480
environmental process,467
environmental system process,467
quality of a solid,462
chemical substance,455
mineral,448
particle of sand,444
inorganic group,438
clay,436
particle of clay,432
sand,431
hydroxy group,429
silt,424
mineral material,421
particle of silt,420
pedosphere,410
water-holding capacity of soil,390
water-holding capacity,390
anatomical entity,345
granular,303
composition,303
material anatomical entity,294
liquid environmental material,275
quality of a liquid,270
qualitative,255
deviation (from_normal),255
increased object quality,234
increased quality,234
role,225
organismal entity,219
compound astronomical body part,192
anatomical structure,190
liquid water,182
multicellular organism,174
soil,169
anthropogenic environmental process,166
root,165
heteroorganic entity,163
organism or virus or viroid,162
cellular organism,162
cellular organisms,162
layer,161
gaseous environmental material,150
ecosystem,148
organochalcogen compound,148
organooxygen compound,148
molecule,143
material transformation process,142
oxide,137
hard,135
organic molecule,135
